gastLabel,episodeLabel,date
Ben Tewaag,Markus Lanz 18.01.2012,2012-01-18T00:00:00Z
Horst Schroth,Markus Lanz 18.01.2012,2012-01-18T00:00:00Z
Ingrid Van,Markus Lanz 18.01.2012,2012-01-18T00:00:00Z
Ulla Kock,Markus Lanz 18.01.2012,2012-01-18T00:00:00Z
Anna Loos,Markus Lanz 19.01.2012,2012-01-19T00:00:00Z
Carolin Schneider,Markus Lanz 19.01.2012,2012-01-19T00:00:00Z
Jörg Knör,Markus Lanz 19.01.2012,2012-01-19T00:00:00Z
Rainer Langhans,Markus Lanz 19.01.2012,2012-01-19T00:00:00Z
Walter Momper,Markus Lanz 19.01.2012,2012-01-19T00:00:00Z
Geert Müller-Gerbes,Markus Lanz 24.01.2012,2012-01-24T00:00:00Z
Gesine Lötzsch,Markus Lanz 24.01.2012,2012-01-24T00:00:00Z
Klaus Kocks,Markus Lanz 24.01.2012,2012-01-24T00:00:00Z
Oliver Pocher,Markus Lanz 24.01.2012,2012-01-24T00:00:00Z
Thomas Hermanns,Markus Lanz 24.01.2012,2012-01-24T00:00:00Z
Adriana Altaras,Markus Lanz 25.01.2012,2012-01-25T00:00:00Z
Alec Völkel,Markus Lanz 25.01.2012,2012-01-25T00:00:00Z
Dirk Steffens,Markus Lanz 25.01.2012,2012-01-25T00:00:00Z
Eva Mozes-Kor,Markus Lanz 25.01.2012,2012-01-25T00:00:00Z
Peer Kusmagk,Markus Lanz 25.01.2012,2012-01-25T00:00:00Z
Sascha Vollmer,Markus Lanz 25.01.2012,2012-01-25T00:00:00Z
Gerhart Baum,Markus Lanz 26.01.2012,2012-01-26T00:00:00Z
Julia Schramm,Markus Lanz 26.01.2012,2012-01-26T00:00:00Z
Jörg Eschenbach,Markus Lanz 26.01.2012,2012-01-26T00:00:00Z
Konny Reimann,Markus Lanz 26.01.2012,2012-01-26T00:00:00Z
Olivia Jones,Markus Lanz 26.01.2012,2012-01-26T00:00:00Z
Willy Bogner,Markus Lanz 26.01.2012,2012-01-26T00:00:00Z
Bastian Bielendorfer,Markus Lanz 31.01.2012,2012-01-31T00:00:00Z
Hajo Schumacher,Markus Lanz 31.01.2012,2012-01-31T00:00:00Z
Jörg Schönbohm,Markus Lanz 31.01.2012,2012-01-31T00:00:00Z
Martin Rütter,Markus Lanz 31.01.2012,2012-01-31T00:00:00Z
Nina Ruge,Markus Lanz 31.01.2012,2012-01-31T00:00:00Z
Burkhard Driest,Markus Lanz 01.02.2012,2012-02-01T00:00:00Z
Dirk Stermann,Markus Lanz 01.02.2012,2012-02-01T00:00:00Z
Indira Weis,Markus Lanz 01.02.2012,2012-02-01T00:00:00Z
Marianne Koch,Markus Lanz 01.02.2012,2012-02-01T00:00:00Z
Micky Beisenherz,Markus Lanz 01.02.2012,2012-02-01T00:00:00Z
Bernd Siggelkow,Markus Lanz 02.02.2012,2012-02-02T00:00:00Z
Christine Scheible,Markus Lanz 02.02.2012,2012-02-02T00:00:00Z
Detlef Soost,Markus Lanz 02.02.2012,2012-02-02T00:00:00Z
Hans Dieter Scheible,Markus Lanz 02.02.2012,2012-02-02T00:00:00Z
Heinz Buschkowsky,Markus Lanz 02.02.2012,2012-02-02T00:00:00Z
Katrin Sass,Markus Lanz 02.02.2012,2012-02-02T00:00:00Z
Marc Bator,Markus Lanz 02.02.2012,2012-02-02T00:00:00Z
