Sendungstitel,FolgenNr,Staffel,Folge,Datum,Dauer,Sendezeit,Gästesubstr,Gast_1,Beschreibung_1,Gast_2,Beschreibung_2,Gast_3,Beschreibung_3,Gast_4,Beschreibung_4,Gast_5,Beschreibung_5,Gast_6,Beschreibung_6,Gast_7,Beschreibung_7,Gast_8,Beschreibung_8,Gast_9,Beschreibung_9,Gast_10,Beschreibung_10,Gast_11,Beschreibung_11,Gast_12,Beschreibung_12,Gast_13,Beschreibung_13,Gast_14,Beschreibung_14,Gast_15,Beschreibung_15,Gast_16,Beschreibung_16,Gast_17,Beschreibung_17,Gast_18,Beschreibung_18,Gast_19,Beschreibung_19,Gast_20,Beschreibung_20,Gast_21,Beschreibung_21
 Markus Lanz 20.10.2010,,,,20.10.2010,067'00,23:18:43 - 00:25:43," 23:18:43 - 00:25:43 067'00 Interview Markus LANZ mit Michael SCHANZE (Moderator), Matthias REIM (Schlagerstar), Carola FERSTL (Finanzexpertin) und Alexander ""Elton"" DUSZAT (Moderator)",Interview Markus LANZ,Moderator,Michael SCHANZE,Moderator,Matthias REIM,Schlagerstar,Carola FERSTL,Finanzexpertin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 21.10.2010,,,,21.10.2010,064'39,23:29:21 - 00:34:00, 23:29:21 - 00:34:00 064'39 Interview Markus LANZ mit den Studiogästen Wolfgang RADEMANN (Fernsehproduzent),Wolfgang RADEMANN,Fernsehproduzent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 26.10.2010,,,,26.10.2010,075'31,22:47:02 - 00:02:33," 22:47:02 - 00:02:33 075'31 Interview Markus LANZ mit den Studiogästen Ben BECKER (Schauspieler), Vicky LEANDROS (Sängerin), Daniela ""Louisa"" (HIV-positiv)",Ben BECKER,Schauspieler,Vicky LEANDROS,Sängerin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 28.10.2010,,,,28.10.2010,066'26,23:22:17 - 00:28:43," 23:22:17 - 00:28:43 066'26 Interview Markus LANZ mit den Studiogästen Osman ARAYA (chilenischer Minenarbeiter) mit seiner Lebensgefährtin Angelica, Adolf HERBST (deutscher Grubenarbeiter) und Manfred LÜTZ (Psychiater)",Osman ARAYA,chilenischer Minenarbeiter,Lebensgefährtin A,deutscher Grubenarbeiter,Adolf HERBST,deutscher Grubenarbeiter,Manfred LÜTZ,Psychiater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 02.11.2010,,,,02.11.2010,075'59,22:45:26 - 00:01:25," 22:45:26 - 00:01:25 075'59 Interview Markus LANZ mit den Studiogästen Dietrich GRÖNEMEYER (Radiologe), Harald GLÖÖCKLER (Designer), Klaus KOCKS (Publizist) und Sabine CZERNY (Lehrerin)",Dietrich GRÖNEMEYER,Radiologe,Harald GLÖÖCKLER,Designer,Klaus KOCKS,Publizist,Sabine CZERNY,Lehrerin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 03.11.2010,,,,03.11.2010,066'42,23:20:44 - 00:27:26," 23:20:44 - 00:27:26 066'42 Interview Markus LANZ mit den Studiogästen Thomas SALME (Pilot ohne Lizenz), Nicole von WURMB-SCHWARK (Gerichtsmedizinerin), Immanuel DZATKOWSKI (Erster Kriminalhauptkommissar der Bezirkskriminalinspektion Lübeck), Josef WILFING (ehemaliger Münchner Mordermittler), Jörg HANDWERG (Vorsitzender Pilotenvereinigung Cockpit) und Herbert SCHONS (Anwalt)",Thomas SALME,Pilot ohne Lizenz,Immanuel DZATKOWSKI,Erster Kriminalhauptkommissar der Bezirkskriminalinspektion Lübeck,Josef WILFING,ehemaliger Münchner Mordermittler,Jörg HANDWERG,Vorsitzender Pilotenvereinigung Cockpit,Herbert SCHONS,Anwalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 04.11.2010,,,,04.11.2010,066'26,23:17:21 - 00:23:47," 23:17:21 - 00:23:47 066'26 Interview Markus LANZ mit den Studiogästen Tony BLAIR (ehem. RCh Großbritannien), Tanja WEDHORN (Schauspielerin), Patrick FICHTE (Schauspieler), Wilfried HANDL (ehemaliger Scientologe) und Jürg STETTLER (Pressesprecher von Scientology Deutschland)",Tony BLAIR,ehem. RCh Großbritannien,Tanja WEDHORN,Schauspielerin,Patrick FICHTE,Schauspieler,Wilfried HANDL,ehemaliger Scientologe,Jürg STETTLER,Pressesprecher von Scientology Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 09.11.2010,,,,09.11.2010,075'17,22:44:18 - 23:59:35," 22:44:18 - 23:59:35 075'17 Interview Markus LANZ mit Studiogästen Michel FRIEDMAN (Publizist), Claudia ROTH (Vors Bündnis 90 / Die Grünen), Günther BECKSTEIN (CSU, ehemaliger bayrischer Innenminister), Uschi Glas (Schauspielerin) und Hans Jochen JASCHKE (Weihbischof von Hamburg)",Michel FRIEDMAN,Publizist,Claudia ROTH,Vors Bündnis 90 / Die Grünen,Günther BECKSTEIN,"CSU, ehemaliger bayrischer Innenminister",Uschi G,Schauspielerin,Hans Jochen JASCHKE,Weihbischof von Hamburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 10.11.2010,,,,10.11.2010,066'14,23:37:31 - 00:43:45, 23:37:31 - 00:43:45 066'14 Interview Markus LANZ mit den Studiogästen Thomas RÄTSCH (bezahlte seiner Katze neue Niere),Thomas RÄTSCH,bezahlte seiner Katze neue Niere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 11.11.2010,,,,11.11.2010,065'17,23:19:35 - 00:24:52," 23:19:35 - 00:24:52 065'17 Interview Markus LANZ mit den Studiogästen Nina RUGE (Moderatorin), Ottfried FISCHER (Schauspieler) und Roland KOCH (CDU, ehem MPr Hessen)",Nina RUGE,Moderatorin,Ottfried FISCHER,Schauspieler,Roland KOCH,"CDU, ehem MPr Hessen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 18.11.2010,,,,18.11.2010,065'26,23:20:27 - 00:25:53," 23:20:27 - 00:25:53 065'26 Interview Markus LANZ mit Studiogästen Kai EBEL (Moderator), Bärbel SCHÄFER (Moderatorin), Balian BUSCHBAUM (Transmann) und Isabel VARELL (Schauspielerin)",Kai EBEL,Moderator,Bärbel SCHÄFER,Moderatorin,Balian BUSCHBAUM,Transmann,Isabel VARELL,Schauspielerin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 23.11.2010,,,,23.11.2010,076'02,22:58:51 - 00:14:53," 22:58:51 - 00:14:53 076'02 Interview Markus LANZ mit Studiogästen Heiner LAUTERBACH (Schauspieler), Norbert LEHMANN (Adelsexperte), Camilla HENEMARK (Popstar), Thomas SJÖBERG (Autor), Atze SCHRÖDER (Comedian) und Karolina (ehemalige Domina)",Heiner LAUTERBACH,Schauspieler,Norbert LEHMANN,Adelsexperte,Camilla HENEMARK,Popstar,Thomas SJÖBERG,Autor,Atze SCHRÖDER,Comedian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 25.11.2010,,,,25.11.2010,065'04,23:22:30 - 00:27:34," 23:22:30 - 00:27:34 065'04 Interview Markus LANZ mit Studiogästen Guido KNOPP (Historiker), Peter AHRENS (Journalist), Ulla KOCK AM BRINK (Moderatorin), Bülent CEYLAN (Comedian) und Till BRÖNNER (Musiker)",Guido KNOPP,Historiker,Peter AHRENS,Journalist,Ulla KOCK,Moderatorin,Bülent CEYLAN,Comedian,Till BRÖNNER,Musiker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 30.11.2010,,,,30.11.2010,076'25,23:01:51 - 00:18:16," 23:01:51 - 00:18:16 076'25 Interview Markus LANZ mit Studiogästen Frank ELSTNER (Moderator), Gayle TUFTS (Entertainerin), Gunther EMMERLICH (Entertainer), Sarah KUTTNER (Moderatorin) und Jürgen TODENHÖFER (Politiker)",Frank ELSTNER,Moderator,Gayle TUFTS,Entertainerin,Gunther EMMERLICH,Entertainer,Sarah KUTTNER,Moderatorin,Jürgen TODENHÖFER,Politiker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 01.12.2010,,,,01.12.2010,066'44,23:49:23 - 00:56:07," 23:49:23 - 00:56:07 066'44 Interview Markus LANZ mit den Studiogästen Michael STICH (ex Tennisspieler), Florian HAMBÜCHEN (Turner), Daniela (HIV-positiv), Jessmin BEGUM (Näherin in Bangladesch), Rosi GOLLMANN (gründete 1967 die Andheri-Hilfe e.V.), Khorshed ALAM (Experte für Arbeitsbedingungen in Bangladesch) und Christoph LÜTGERT (Journalist)",Michael STICH,ex Tennisspieler,Florian HAMBÜCHEN,Turner,Jessmin BEGUM,Näherin in Bangladesch,Rosi GOLLMANN,gründete 1967 die Andheri-Hilfe e.V.,Khorshed ALAM,Experte für Arbeitsbedingungen in Bangladesch,Christoph LÜTGERT,Journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 02.12.2010,,,,02.12.2010,066'05,23:18:55 - 00:25:00," 23:18:55 - 00:25:00 066'05 Interview Markus LANZ mit Studiogästen Peter STRUCK (SPD), Peter WECK (Schauspieler) und Sara NURU (Topmodel)",Peter STRUCK,SPD,Peter WECK,Schauspieler,Sara NURU,Topmodel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 07.12.2010,,,,07.12.2010,075'53,22:44:56 - 00:00:49," 22:44:56 - 00:00:49 075'53 Interview Markus LANZ mit Studiogästen Wolfgang STUMPH (Schauspieler), Dieter NUHR (Kabarettist), Ralf SCHNOOR (gewann bei Wer wird Millionär eine Million), Rainer LANGHANS (Bewohner der Komune 1) und Dirk BERGMANN (Bordellbesitzer)",Wolfgang STUMPH,Schauspieler,Dieter NUHR,Kabarettist,Ralf SCHNOOR,gewann bei Wer wird Millionär eine Million,Rainer LANGHANS,Bewohner der Komune 1,Dirk BERGMANN,Bordellbesitzer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 08.12.2010,,,,08.12.2010,065'34,23:20:48 - 00:26:22," 23:20:48 - 00:26:22 065'34 Interview Markus LANZ mit Studiogästen Manfred LÜTZ (Psychiater), Michael TSOKOS (Gerichtsmediziner), Petra (Lesbe), Yvonne FORD (Gründerin der Initiative ""Late Bloomers"") und Ralph MORGENSTERN (Moderator)",Manfred LÜTZ,Psychiater,Michael TSOKOS,Gerichtsmediziner,Yvonne FORD,"Gründerin der Initiative ""Late Bloomers""",Ralph MORGENSTERN,Moderator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 09.12.2010,,,,09.12.2010,067'38,23:19:28 - 00:27:06," 23:19:28 - 00:27:06 067'38 Interview Markus LANZ mit Studiogästen Ranga YOGESHWAR (Physiker), Bernd STELTER (Kabarettist), Tim MÄLZER (Starkoch) und Eckart WITZIGMANN (""Koch des Jahrhunderts"")",Ranga YOGESHWAR,Physiker,Bernd STELTER,Kabarettist,Tim MÄLZER,Starkoch,Eckart WITZIGMANN,"""Koch des Jahrhunderts""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 14.12.2010,,,,14.12.2010,042'12,22:44:43 - 23:26:55," 22:44:43 - 23:26:55 042'12 Interview Markus LANZ mit den Studiogästen Mario ADORF (Schauspieler), Petra GERSTER (Moderatorin) und Ehemann Christian NÜRNBERGER (Journalist) (O-Ton). ",Mario ADORF,Schauspieler,Petra GERSTER,Moderatorin,Ehemann Christian NÜRNBERGER,Journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Markus Lanz 15.12.2010,,,,15.12.2010,066'44,23:31:04 - 00:37:48," 23:31:04 - 00:37:48 066'44 Interview Markus LANZ mit den Studiogästen Gitte HAENNING (Sängerin), Martin RÜTTER (Tierpsychologe und Hundetrainer), Paul PANZER (alias Dieter TAPPERT, Comedian), Theo BRENIG (Kfz-Meister und Promi-Jäger), ",Gitte HAENNING,Sängerin,Martin RÜTTER,Tierpsychologe und Hundetrainer,Paul PANZER,"alias Dieter TAPPERT, Comedian",Theo BRENIG,Kfz-Meister und Promi-Jäger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
